zip_code,year,avg_rent
10001,2012,3711.1283138523618
10001,2013,3728.3730427875585
10001,2014,3898.4579893317223
10001,2015,4069.4952208679883
10001,2016,4089.21037755563
10001,2017,4004.159570690984
10001,2018,4047.102238175952
10001,2019,4183.594473859216
10001,2020,3865.6895282087185
10001,2021,4075.5396302797676
10001,2022,4868.723524145112
10001,2023,4803.942040471027
10002,2012,NA
10002,2013,2751.5130501682656
10002,2014,2863.9156584267425
10002,2015,3033.8503492578775
10002,2016,3091.677304187504
10002,2017,3137.801078343372
10002,2018,3208.004881314664
10002,2019,3300.8588981934627
10002,2020,3114.1439690948723
10002,2021,3134.7372861060894
10002,2022,3843.1703520618466
10002,2023,3825.970600728103
10003,2012,3110.0862729640717
10003,2013,3225.5840288855397
10003,2014,3357.8084831434035
10003,2015,3521.5121831807764
10003,2016,3580.3232320225407
10003,2017,3612.834071117134
10003,2018,3660.143968284188
10003,2019,3758.070980965292
10003,2020,3535.738525593227
10003,2021,3572.712555157544
10003,2022,4406.005209744254
10003,2023,4499.997788743206
10004,2012,NA
10004,2013,NA
10004,2014,NA
10004,2015,NA
10004,2016,NA
10004,2017,3181.7628540387936
10004,2018,3176.5846774685074
10004,2019,3307.5894443652323
10004,2020,3051.4241517083137
10004,2021,3124.3428043816516
10004,2022,3868.5957000597227
10004,2023,3899.375828371886
10005,2012,3097.9162142812543
10005,2013,3157.7889758574547
10005,2014,3296.8894022005115
10005,2015,3417.472213362229
10005,2016,3432.2510997184672
10005,2017,3405.728033159552
10005,2018,3520.403395413809
10005,2019,3623.551879134311
10005,2020,3448.3273334973474
10005,2021,3489.662199516756
10005,2022,4204.553373504446
10005,2023,4256.460451015794
10006,2012,NA
10006,2013,3050.2166647988524
10006,2014,3104.7440563048776
10006,2015,3294.906618613829
10006,2016,3274.209848147548
10006,2017,3256.456507742498
10006,2018,3311.09226397935
10006,2019,3424.6911457975184
10006,2020,3181.8849336368553
10006,2021,3168.0354383273334
10006,2022,3922.298624626239
10006,2023,3897.527906961157
10007,2012,NA
10007,2013,NA
10007,2014,NA
10007,2015,NA
10007,2016,NA
10007,2017,5685.843297009771
10007,2018,5795.353118383471
10007,2019,5927.374688131824
10007,2020,5736.1987991674305
10007,2021,5915.095044956473
10007,2022,6868.924085465168
10007,2023,7096.991296297008
10009,2012,2854.061647219161
10009,2013,2960.830822827583
10009,2014,3037.2218102153815
10009,2015,3157.2349727914852
10009,2016,3224.8941732457297
10009,2017,3262.0166511109414
10009,2018,3303.8179012884107
10009,2019,3394.144292201911
10009,2020,3232.127928292131
10009,2021,3204.925764171375
10009,2022,3978.7421875797354
10009,2023,4002.691646873567
10010,2012,3243.3455179967837
10010,2013,3330.612676884821
10010,2014,3526.755893237677
10010,2015,3635.730836307828
10010,2016,3698.0265476368336
10010,2017,3728.0570350509993
10010,2018,3751.092059328655
10010,2019,3858.0465077663657
10010,2020,3599.167788954017
10010,2021,3641.314395171169
10010,2022,4463.132378159249
10010,2023,4520.965202209761
10011,2012,3411.5529536087433
10011,2013,3535.0919025518333
10011,2014,3693.7639725739314
10011,2015,3841.168001683217
10011,2016,3910.093226504575
10011,2017,3906.701682362919
10011,2018,3967.9820148464773
10011,2019,4065.6936582386097
10011,2020,3822.7026389808707
10011,2021,3897.3634177897793
10011,2022,4720.922403139566
10011,2023,4775.814035718102
10012,2012,2866.731497185306
10012,2013,2945.8864628764836
10012,2014,3059.768255616082
10012,2015,3190.5189720840012
10012,2016,3254.1175892072793
10012,2017,3264.7199501945393
10012,2018,3321.2908370614896
10012,2019,3437.2015077961373
10012,2020,3255.803258849625
10012,2021,3273.303975053763
10012,2022,4056.3942835338257
10012,2023,4145.698571223399
10013,2012,4101.481481345864
10013,2013,4330.8714933788115
10013,2014,4489.385669815273
10013,2015,4692.432935125733
10013,2016,4739.656857290375
10013,2017,4754.222027346897
10013,2018,4860.949192078868
10013,2019,4989.301819530426
10013,2020,4747.5470056887825
10013,2021,4812.0320089833185
10013,2022,5777.261049129116
10013,2023,5786.83397246893
10014,2012,3167.787876857101
10014,2013,3299.839916927748
10014,2014,3428.2894772487884
10014,2015,3622.4438392912098
10014,2016,3680.016817564731
10014,2017,3723.3625033877265
10014,2018,3787.6408531019315
10014,2019,3915.886341085379
10014,2020,3759.8969568399734
10014,2021,3857.3616848354086
10014,2022,4735.228099019399
10014,2023,4804.720317655279
10016,2012,3222.015423571965
10016,2013,3331.6731124975186
10016,2014,3421.6080923972922
10016,2015,3574.9670451061356
10016,2016,3596.2982893113835
10016,2017,3578.350665609281
10016,2018,3619.6992197214363
10016,2019,3716.399729442849
10016,2020,3473.967307530451
10016,2021,3507.056841287102
10016,2022,4302.086879069135
10016,2023,4295.617116424508
10017,2012,NA
10017,2013,2954.207006926106
10017,2014,3036.24605223051
10017,2015,3193.229319204934
10017,2016,3274.1336128703388
10017,2017,3268.9084448421722
10017,2018,3267.784374722034
10017,2019,3337.8758550980383
10017,2020,3150.7747002007136
10017,2021,3159.4426863609883
10017,2022,3907.74173063563
10017,2023,3985.5415825151936
10018,2012,NA
10018,2013,3428.3255277260073
10018,2014,3513.4288310904108
10018,2015,3685.781257779256
10018,2016,3692.5117022763457
10018,2017,3674.0790553777692
10018,2018,3716.271399244689
10018,2019,3851.6218016551043
10018,2020,3556.0836572433786
10018,2021,3664.924030697366
10018,2022,4406.55538811668
10018,2023,4422.364916966419
10019,2012,3218.528629749907
10019,2013,3292.311520419325
10019,2014,3389.759135940649
10019,2015,3517.9868106570293
10019,2016,3529.984825054368
10019,2017,3517.3868013546194
10019,2018,3522.160129190693
10019,2019,3593.615197747297
10019,2020,3386.211342854637
10019,2021,3418.8694603414465
10019,2022,4129.38946121315
10019,2023,4178.338839704621
10021,2012,2455.624560050786
10021,2013,2558.1799355770913
10021,2014,2617.0570801835715
10021,2015,2727.502063201033
10021,2016,2780.2341630596725
10021,2017,2801.8844623052873
10021,2018,2846.6448695667414
10021,2019,2925.2867886536815
10021,2020,2792.203900223297
10021,2021,2717.315873412161
10021,2022,3389.202646853448
10021,2023,3473.4705290321153
10022,2012,3183.3900346378814
10022,2013,3262.475049015746
10022,2014,3367.8794286434795
10022,2015,3516.594711027689
10022,2016,3574.7793638751277
10022,2017,3569.0252122399256
10022,2018,3590.551288920882
10022,2019,3660.1754185358836
10022,2020,3467.604882971857
10022,2021,3378.7797965022437
10022,2022,4170.362581156938
10022,2023,4250.3888138221355
10023,2012,3002.934294952022
10023,2013,3071.605415752523
10023,2014,3186.009572732637
10023,2015,3274.226336772114
10023,2016,3298.6526840973024
10023,2017,3279.4744139871977
10023,2018,3321.740873632784
10023,2019,3391.958388941497
10023,2020,3224.249968423484
10023,2021,3250.9925880764436
10023,2022,3918.363587862225
10023,2023,3970.2346625445125
10024,2012,2771.689261401799
10024,2013,2871.0650009924766
10024,2014,2949.5572957427294
10024,2015,3038.232175536168
10024,2016,3079.560773169582
10024,2017,3073.1221433958567
10024,2018,3116.9027881869515
10024,2019,3200.0764803820202
10024,2020,3068.631765070636
10024,2021,3018.956070001845
10024,2022,3659.077027404181
10024,2023,3731.9754975908136
10025,2012,2946.575256887219
10025,2013,3083.0569143507823
10025,2014,3185.876945366989
10025,2015,3287.9398126326373
10025,2016,3338.606334535552
10025,2017,3319.8690524734684
10025,2018,3357.357132998404
10025,2019,3467.619537240058
10025,2020,3276.501421910881
10025,2021,3275.823696920238
10025,2022,3903.4809023086123
10025,2023,3956.795786610088
10026,2012,NA
10026,2013,NA
10026,2014,NA
10026,2015,2599.8531817742987
10026,2016,2679.0078837743067
10026,2017,2703.511543165944
10026,2018,2738.507563992454
10026,2019,2807.3162251506606
10026,2020,2685.5524694586757
10026,2021,2607.1187347974455
10026,2022,3004.9358295853685
10026,2023,3087.220371751524
10027,2012,NA
10027,2013,2145.24440619638
10027,2014,2283.532205801715
10027,2015,2417.636436185434
10027,2016,2518.854061090695
10027,2017,2542.054284641673
10027,2018,2593.719365740183
10027,2019,2660.5032890260277
10027,2020,2576.4346760287153
10027,2021,2487.0385128090716
10027,2022,2887.9703051874076
10027,2023,3006.2417369198024
10028,2012,2341.3652904438204
10028,2013,2427.5798004045055
10028,2014,2517.104165693784
10028,2015,2612.2435702962375
10028,2016,2672.69986242083
10028,2017,2703.916533340552
10028,2018,2747.148208033843
10028,2019,2827.109003745872
10028,2020,2712.9037043329654
10028,2021,2610.65027556418
10028,2022,3214.391490539392
10028,2023,3302.4563369866296
10029,2012,NA
10029,2013,2216.8514320897384
10029,2014,2250.8656767464704
10029,2015,2407.986401619906
10029,2016,2431.575719590211
10029,2017,2515.982891075068
10029,2018,2566.5183696234412
10029,2019,2615.6278099995743
10029,2020,2508.045185366587
10029,2021,2354.871053574614
10029,2022,2770.458288463111
10029,2023,2868.7479898490583
10030,2012,NA
10030,2013,NA
10030,2014,NA
10030,2015,NA
10030,2016,NA
10030,2017,NA
10030,2018,NA
10030,2019,NA
10030,2020,2248.4504098877524
10030,2021,2188.459904866859
10030,2022,2485.668603809436
10030,2023,2604.832859219681
10031,2012,NA
10031,2013,1788.0044399729745
10031,2014,1886.602950735525
10031,2015,2046.911696152544
10031,2016,2156.483796959501
10031,2017,2200.2578818001552
10031,2018,2242.992690918993
10031,2019,2305.6485115957407
10031,2020,2238.4669705911488
10031,2021,2167.3790918331174
10031,2022,2448.3120877825554
10031,2023,2545.3089682420396
10032,2012,NA
10032,2013,1728.339633205625
10032,2014,1843.1447697478707
10032,2015,1999.8325785541615
10032,2016,2049.1138149427393
10032,2017,2150.301517970067
10032,2018,2176.934281664515
10032,2019,2205.4075867571687
10032,2020,2171.8302700271042
10032,2021,2123.5889595030208
10032,2022,2390.567003433047
10032,2023,2475.1264520728914
10033,2012,NA
10033,2013,NA
10033,2014,NA
10033,2015,2041.2300398673553
10033,2016,2127.0080664930474
10033,2017,2150.2508354208016
10033,2018,2230.4813604769092
10033,2019,2270.845926297299
10033,2020,2237.0662288633935
10033,2021,2183.6171062589547
10033,2022,2401.085369745166
10033,2023,2545.0982441891447
10034,2012,NA
10034,2013,NA
10034,2014,NA
10034,2015,1820.4867278543898
10034,2016,1864.4349294267515
10034,2017,1882.6367440650586
10034,2018,1950.0391644032256
10034,2019,1988.6853248550237
10034,2020,1976.3230720125066
10034,2021,1929.402700490606
10034,2022,2094.3945457207274
10034,2023,2161.2250534503246
10035,2012,NA
10035,2013,NA
10035,2014,NA
10035,2015,2270.75381508254
10035,2016,2364.640104791023
10035,2017,2451.9058270058654
10035,2018,2500.39142262872
10035,2019,2561.684880291264
10035,2020,2500.5190339662604
10035,2021,2440.0572640541504
10035,2022,2717.28231420018
10035,2023,2834.233707767001
10036,2012,3138.792070230127
10036,2013,3199.6872416309297
10036,2014,3278.2924048546156
10036,2015,3389.0137689235635
10036,2016,3389.6383352584703
10036,2017,3393.024754270468
10036,2018,3399.438583333729
10036,2019,3476.7873491110563
10036,2020,3283.8626149085458
10036,2021,3281.421085025991
10036,2022,4053.873643860213
10036,2023,4101.867348178175
10037,2012,NA
10037,2013,NA
10037,2014,NA
10037,2015,NA
10037,2016,1994.932344825536
10037,2017,2039.2235081892777
10037,2018,2102.839351215337
10037,2019,2161.157808544293
10037,2020,2116.926826500093
10037,2021,2048.2739785545614
10037,2022,2326.131800651686
10037,2023,2451.943222507743
10038,2012,NA
10038,2013,3015.4017248822747
10038,2014,3159.5482399760194
10038,2015,3387.396453867751
10038,2016,3370.7735799060097
10038,2017,3389.140939098204
10038,2018,3422.1894431478495
10038,2019,3581.757236088962
10038,2020,3342.6593391817723
10038,2021,3425.75483011329
10038,2022,4271.879289957072
10038,2023,4354.991894511648
10039,2012,NA
10039,2013,NA
10039,2014,NA
10039,2015,NA
10039,2016,NA
10039,2017,NA
10039,2018,NA
10039,2019,NA
10039,2020,2061.97163605211
10039,2021,1991.8803118141584
10039,2022,2282.1682238098983
10039,2023,2381.6546086019744
10040,2012,NA
10040,2013,1693.5767259853108
10040,2014,1706.6390143989897
10040,2015,1818.6180005948245
10040,2016,1874.2176210831299
10040,2017,1942.6032299401716
10040,2018,1992.8851363633655
10040,2019,2033.4714917420104
10040,2020,2045.2464056883732
10040,2021,1995.7564210552068
10040,2022,2227.700117407318
10040,2023,2303.471854422575
10044,2012,NA
10044,2013,NA
10044,2014,NA
10044,2015,NA
10044,2016,NA
10044,2017,NA
10044,2018,NA
10044,2019,NA
10044,2020,3329.305455333068
10044,2021,3373.0265650056513
10044,2022,4098.165762907293
10044,2023,4117.168193522726
10065,2012,2783.6697675764235
10065,2013,2891.197335319962
10065,2014,2991.3411313745573
10065,2015,3072.1807846159572
10065,2016,3123.171370518222
10065,2017,3144.1449997587906
10065,2018,3191.573303146416
10065,2019,3275.806562897029
10065,2020,3133.848511882507
10065,2021,3043.630059228605
10065,2022,3704.2593805528186
10065,2023,3810.341194934779
10069,2012,NA
10069,2013,NA
10069,2014,NA
10069,2015,NA
10069,2016,NA
10069,2017,4292.056294744895
10069,2018,4344.413524060466
10069,2019,4545.571977893185
10069,2020,4211.994765218182
10069,2021,4418.845923358007
10069,2022,5224.294969275236
10069,2023,5135.942199242208
10075,2012,2281.068856353959
10075,2013,2363.1925439847937
10075,2014,2428.3664308925986
10075,2015,2513.3613597719745
10075,2016,2565.4702641502754
10075,2017,2576.1158059105555
10075,2018,2612.224609490958
10075,2019,2697.95061143504
10075,2020,2584.2469072134227
10075,2021,2487.845576381183
10075,2022,3122.8935940694378
10075,2023,3200.5074222880703
10128,2012,2311.3016162323056
10128,2013,2429.870142723922
10128,2014,2505.843829239055
10128,2015,2607.609334166944
10128,2016,2648.4804058232316
10128,2017,2675.241858203917
10128,2018,2733.529147908785
10128,2019,2820.55984681525
10128,2020,2710.8374769146317
10128,2021,2614.5782871766114
10128,2022,3228.661766635278
10128,2023,3332.46007346285
10162,2012,NA
10162,2013,NA
10162,2014,NA
10162,2015,NA
10162,2016,NA
10162,2017,NA
10162,2018,NA
10162,2019,NA
10162,2020,NA
10162,2021,NA
10162,2022,NA
10162,2023,6295
10280,2012,NA
10280,2013,NA
10280,2014,NA
10280,2015,NA
10280,2016,3371.3295976071818
10280,2017,3329.438064228464
10280,2018,3436.4002200802042
10280,2019,3585.1107111388988
10280,2020,3373.5757116868613
10280,2021,3513.404208656958
10280,2022,4180.127461648319
10280,2023,4181.700422734768
10282,2012,NA
10282,2013,NA
10282,2014,NA
10282,2015,5150.567410249242
10282,2016,5130.571894439118
10282,2017,5208.6359956454335
10282,2018,5182.635256454504
10282,2019,5407.446426531187
10282,2020,5196.907395238214
10282,2021,5459.1147491721495
10282,2022,6869.57471954486
10282,2023,7267.151154741932
10301,2012,NA
10301,2013,NA
10301,2014,NA
10301,2015,NA
10301,2016,NA
10301,2017,NA
10301,2018,NA
10301,2019,NA
10301,2020,NA
10301,2021,NA
10301,2022,2245.488277471148
10301,2023,2362.519090766571
10303,2012,NA
10303,2013,NA
10303,2014,NA
10303,2015,NA
10303,2016,NA
10303,2017,NA
10303,2018,NA
10303,2019,NA
10303,2020,NA
10303,2021,NA
10303,2022,NA
10303,2023,2300
10304,2012,NA
10304,2013,NA
10304,2014,NA
10304,2015,NA
10304,2016,NA
10304,2017,NA
10304,2018,NA
10304,2019,NA
10304,2020,2242.4093039714326
10304,2021,2304.5735264076775
10304,2022,2442.474670364941
10304,2023,2643.9708901294985
10305,2012,NA
10305,2013,NA
10305,2014,NA
10305,2015,NA
10305,2016,NA
10305,2017,NA
10305,2018,NA
10305,2019,NA
10305,2020,NA
10305,2021,1714.6329632290167
10305,2022,1878.6094571818815
10305,2023,2292.8207225913543
10306,2012,NA
10306,2013,NA
10306,2014,NA
10306,2015,NA
10306,2016,NA
10306,2017,NA
10306,2018,NA
10306,2019,NA
10306,2020,NA
10306,2021,1660.5718632650423
10306,2022,1843.6261590266236
10306,2023,1978.5164883088135
10309,2012,NA
10309,2013,NA
10309,2014,NA
10309,2015,NA
10309,2016,NA
10309,2017,NA
10309,2018,NA
10309,2019,NA
10309,2020,NA
10309,2021,NA
10309,2022,1658.098432082465
10309,2023,1624.6422571660848
10312,2012,NA
10312,2013,NA
10312,2014,NA
10312,2015,NA
10312,2016,NA
10312,2017,NA
10312,2018,NA
10312,2019,NA
10312,2020,NA
10312,2021,1895.3213405003985
10312,2022,1979.8538570992214
10312,2023,2164.6024105908064
10314,2012,NA
10314,2013,NA
10314,2014,NA
10314,2015,NA
10314,2016,NA
10314,2017,NA
10314,2018,NA
10314,2019,NA
10314,2020,1574.4917759461862
10314,2021,1608.2563790196423
10314,2022,1834.8404701376478
10314,2023,2133.218099879766
10451,2012,NA
10451,2013,NA
10451,2014,NA
10451,2015,NA
10451,2016,NA
10451,2017,NA
10451,2018,NA
10451,2019,NA
10451,2020,NA
10451,2021,NA
10451,2022,NA
10451,2023,2635.185942351733
10452,2012,NA
10452,2013,NA
10452,2014,NA
10452,2015,NA
10452,2016,NA
10452,2017,NA
10452,2018,NA
10452,2019,NA
10452,2020,NA
10452,2021,NA
10452,2022,NA
10452,2023,2157.007805710129
10453,2012,NA
10453,2013,NA
10453,2014,NA
10453,2015,NA
10453,2016,NA
10453,2017,NA
10453,2018,NA
10453,2019,NA
10453,2020,NA
10453,2021,NA
10453,2022,1805.2485388120401
10453,2023,1902.5424629008974
10454,2012,NA
10454,2013,NA
10454,2014,NA
10454,2015,NA
10454,2016,NA
10454,2017,NA
10454,2018,NA
10454,2019,NA
10454,2020,NA
10454,2021,NA
10454,2022,2614.720861317346
10454,2023,2681.7758439757445
10455,2012,NA
10455,2013,NA
10455,2014,NA
10455,2015,NA
10455,2016,NA
10455,2017,NA
10455,2018,NA
10455,2019,NA
10455,2020,NA
10455,2021,NA
10455,2022,NA
10455,2023,2320
10456,2012,NA
10456,2013,NA
10456,2014,NA
10456,2015,NA
10456,2016,NA
10456,2017,NA
10456,2018,NA
10456,2019,NA
10456,2020,NA
10456,2021,NA
10456,2022,2152.7450158297925
10456,2023,2246.196118523421
10457,2012,NA
10457,2013,NA
10457,2014,NA
10457,2015,NA
10457,2016,NA
10457,2017,1735.2989121055753
10457,2018,1871.913750816425
10457,2019,1954.8180946203533
10457,2020,2077.949729759501
10457,2021,2105.313097392346
10457,2022,2243.6683714302276
10457,2023,2491.7783412045187
10458,2012,NA
10458,2013,NA
10458,2014,NA
10458,2015,NA
10458,2016,1559.073514659853
10458,2017,1668.0084175919314
10458,2018,1747.1701781975567
10458,2019,1784.5088354765205
10458,2020,1841.1260814385496
10458,2021,1890.709330399359
10458,2022,1984.9518570670248
10458,2023,2069.253453735099
10460,2012,NA
10460,2013,NA
10460,2014,NA
10460,2015,NA
10460,2016,NA
10460,2017,NA
10460,2018,NA
10460,2019,NA
10460,2020,NA
10460,2021,NA
10460,2022,NA
10460,2023,1948.7183975132768
10461,2012,NA
10461,2013,NA
10461,2014,NA
10461,2015,NA
10461,2016,NA
10461,2017,1689.3302180045082
10461,2018,1744.6222544479983
10461,2019,1818.8606123447028
10461,2020,1910.7860850652853
10461,2021,1956.0520436983575
10461,2022,2068.770309195069
10461,2023,2167.972339313194
10462,2012,NA
10462,2013,NA
10462,2014,NA
10462,2015,NA
10462,2016,1358.0025682798416
10462,2017,1351.5118834337147
10462,2018,1432.709293400403
10462,2019,1508.9576054859851
10462,2020,1561.589806340425
10462,2021,1613.3324046070998
10462,2022,1737.5491954081867
10462,2023,1847.1659075739713
10463,2012,NA
10463,2013,NA
10463,2014,NA
10463,2015,1889.1844994601763
10463,2016,1988.4217832098052
10463,2017,2084.4713980013717
10463,2018,2141.707899331959
10463,2019,2178.974435039953
10463,2020,2246.012824092021
10463,2021,2266.5825019146628
10463,2022,2434.458165764572
10463,2023,2515.8080647266706
10465,2012,NA
10465,2013,NA
10465,2014,NA
10465,2015,NA
10465,2016,NA
10465,2017,NA
10465,2018,NA
10465,2019,1799.6546722126877
10465,2020,1870.120538180909
10465,2021,1988.3400167382133
10465,2022,2209.046671927239
10465,2023,2407.322751287813
10466,2012,NA
10466,2013,NA
10466,2014,NA
10466,2015,NA
10466,2016,NA
10466,2017,NA
10466,2018,NA
10466,2019,NA
10466,2020,NA
10466,2021,NA
10466,2022,2156.4765135862754
10466,2023,2295.4790604710656
10467,2012,NA
10467,2013,NA
10467,2014,NA
10467,2015,NA
10467,2016,1407.7001335283476
10467,2017,1509.0296664212626
